Year,Month,Tile,Id,Gender
2013,October,"George W. Sams, Jr.",6462380,male
2013,October,Adam King (Scottish footballer born 1995),41563867,male
2013,October,Bruce Moon,31031389,male
2013,October,Peter Morici,22478079,male
2013,October,Paul Barnett (video game designer),9259842,male
2013,October,Kate Campbell,3139279,female
2013,October,Rick Loomis,40673171,male
2013,October,Donald O. Hebb,323121,male
2013,October,Claude Stokes (intelligence officer),40744548,male
2013,October,Vipa Bernhardt,38904468,female
2013,October,Sue Carpenter (Writer and pirate radio personality),40716841,female
2013,October,Torres (musician),38879441,female
2013,October,James Dietz (artist),40731844,male
2013,October,Ron Pretty,40359057,male
2013,October,Maureen Van Zandt,5206575,female
2013,October,Christopher Scarver,64137,male
2013,October,The L. Ron Hubbard Series,17862,male
2013,October,Jahan Shah I,28802186,male
2013,October,Suphot Dhirakaosal,18739185,male
2013,October,Dave Stewart (trombonist),7406726,male
2013,October,Frank Massar,40565846,male
2013,October,Mike Tempesta,4034941,male
2013,October,Claudia Ellquist,3192338,female
2013,October,David Stouck,40679141,male
2013,October,Zachariah Eastin,40656551,male
2013,October,Weird Paul Petroskey,3565923,male
2013,October,Melinda Smith,44965266,female
2013,October,Static Revenger,40832061,male
2013,October,Jack Skelly,20181826,male
2013,October,Benjamin Kallos,36408618,male
2013,October,Sam Fields,47072470,male
2013,October,Kim Ju-ae,36541112,female
2013,October,Edgar Schofield Baum,11849311,male
2013,October,Peter Sparling,15385871,male
2013,October,Gaius Octavian (Rome character),3217137,male
2013,October,Dominic Santini,8999611,male
2013,October,Paul Foulquié,40636102,male
2013,October,Rob Cabitto,35254317,male
2013,October,Petia Pavlova,11801215,female
2013,October,Tony Anthony (evangelist),40110720,male
2013,October,Adalbert Brunke,40655123,male
2013,October,Timothy Britten,40691375,male
2013,October,Paul Shiels,36520714,male
2013,October,Joy Covey,40585061,female
2013,October,Joju George,45136352,male
2013,October,Karna Shakya,40617162,male
2013,October,Mandi Perkins,42981582,female
2013,October,Mark Braund,41441267,male
2013,October,Aziz Deen-Conteh,39427988,male
2013,October,Charles Bruce (physicist),4046933,male
2013,October,Elise Jordan,39939689,female
2013,October,Effi Wizen,40613873,male
2013,October,Tom Cassell,40438495,male
2013,October,Nadia Bolz-Weber,40976967,female
2013,October,Elizabeth Tyrrell,4771823,female
